A001505,道亨
A001507,道冲
A001508,道言
A001509,道邑
A001512,道果
A001513,道忞
A001515,道昉
A001516,道亭
A001517,道信
A001518,道威
A001519,道宣
A001520,道昭
A001522,姚廣孝
A001523,道原
A001524,道哲
A001525,道氤
A001526,道泰
A001527,比丘道真
A001531,道液
A001534,道略
A001536,道通
A001537,道傑
A001538,道隆
A001539,道楷
A001542,道誠
A001543,道詢
A001544,道瑄
A001546,道彰
A001547,道綽
A001548,道標
A001549,道澄
A001551,道霈
A001552,道暹
A001555,道璞
A001556,道融
A001557,道衡
A001559,道霖
A001560,道濟
A001561,道謙
A001562,道彝
A001563,道邃
A001564,道鏡
A001565,道鑑
A001567,道巖
A001568,達林
A001569,達珍
A001570,薩穆丹達爾吉
A001571,達尊
A001572,達摩笈多
A001573,達摩菩提
A001574,達摩栖那
A001575,達默
A001576,達謙
A001577,遇榮
A001578,遍智
A001579,遍滿
A001580,遁倫
A001581,遁麟
A001582,釋靖邁
A001583,鳩摩羅什
A001584,鳩摩羅佛提
A001587,僧祐
A001588,僧伽婆羅
A001589,僧伽提婆
A001590,僧伽斯那
A001591,僧伽跋陀羅
A001592,僧伽跋摩
A001593,僧伽跋澄
A001594,僧怛多櫱多
A001596,僧朗
A001597,僧祥
A001598,僧肇
A001600,僧璩
A001601,鑑智僧璨
A001603,壽椿
A001606,實叉難陀
A001607,實仁
A001617,實賢
A001619,徹凡
A001622,徹御
A001624,榮西
A001626,榮穩
A001627,熙仲
A001629,碩
A001630,福月
A001631,福善
A001632,福慧
A001633,管主八
A001634,維祇難
A001635,聞達
A001637,與咸
A001638,蒙潤
A001640,趙炅
A001641,趙遷
A001643,際源
A001644,際慶
A001646,齊己
A001647,儀潤
A001649,劉道開
A001650,劉謐
A001655,寬量
A001657,釋廣伸
A001660,廣修
A001661,廣益
A001662,廣真
A001663,廣莫
A001665,廣貴
A001666,廣輝
A001668,德弘
A001669,聖可
A001670,德秀
A001671,德宗
A001672,德初
A001673,德洪
A001674,德珍
A001675,德紀
A001676,德修
A001677,德真
A001678,德高
A001679,德基
A001681,德清
A001683,德琇
A001684,德雲
A001685,德圓
A001687,德溥
A001688,德輝
A001689,德粹
A001690,瞿那末底
A001691,德敷
A001692,德潤
A001693,德儒
A001694,德諫
A001699,慶會
A001700,慶預
A001701,慧日
A001702,慧月
A001705,慧因
A001706,慧行
A001707,慧忠
A001708,慧沼
A001711,慧思
A001713,慧菀
A001714,慧恭
A001715,慧朗
A001716,慧海
A001717,慧浩
A001719,慧能
A001721,慧堅
A001722,慧啟
A001723,慧淨
A001724,慧皎
A001725,慧祥
A001726,慧弼
A001727,慧智
A001728,慧然
A001729,慧琳
A001730,慧開
A001732,慧暉
A001733,慧詳
A001734,慧詢
A001735,慧影
A001736,慧澄
A001737,慧曇
A001738,慧機
A001739,慧霞
A001740,慧鏡
A001741,慧嚴
A001742,慧寶
A001743,慧覺
A001744,慧辯
A001745,慧顯
A001747,憬瑟
A001748,憬興
A001749,摩咥里制吒
A001750,樓頴
A001751,澄彧
A001752,澄淨
A001753,澄照
A001755,澄觀
A001757,潘道靖
A001758,瑩山
A001762,蓮華戒
A001764,諸萬里
A001767,鄭韋庵
A001768,鄭澄源
A001769,鄭澄德
A001770,銳彰
A001771,郭凝之
A001772,凝然
A001774,屾峰憲
A001776,曉月
A001777,曉瑩
A001778,曇秀
A001779,曇延
A001780,曇果
A001781,曇琳
A001783,曇紹
A001784,曇景
A001785,法勇
A001786,曇摩蜜多
A001788,曇無蘭
A001789,曇無讖
A001790,曇照
A001791,曇頓
A001793,曇摩蜱
A001794,曇摩迦陀耶舍
A001795,曇摩流支
A001796,曇摩耶舍
A001797,曇摩崛多
A001798,曇摩難提
A001799,曇噩
A001801,曇應
A001802,曇曜
A001803,曇曠
A001804,曇鸞
A001805,機如
A001806,機雲
A001807,機德
A001808,燈來
A001809,燈映
A001810,燈顯
A001816,縛日羅枳惹曩
A001819,興燈
A001821,親光
A001825,諦閑
A001826,諦觀
A001828,賴瑜
A001831,弁阿
A001832,遵式
A001833,錢伊庵
A001834,錢謙益
A001835,靜居
A001836,靜泰
A001839,釋叡尊
A001841,闍那多迦
A001842,闍那耶舍
A001844,闍那崛多
A001845,優波底沙
A001846,優波扇多
A001848,彌安
A001850,彌紹
A001851,應訢
A001852,應槐
A001853,應儼
A001854,濟岳
A001855,濟時
