work_id,char_count
T0707,2178
T0708,2026
T0709,2886
T0710,3413
T0711,2958
T0712,3998
T0713,1668
T0714,1932
T0715,2034
T0716,9270
T0717,9138
T0718,887
T0719,5530
T0720,10784
T0721,544854
T0722,29842
T0723,3585
T0724,2390
T0725,2093
T0726,2110
T0727,566
T0728,50425
T0729,7412
T0730,6580
T0731,2291
T0732,6195
T0733,647
T0734,1266
T0735,1919
T0736,1943
T0737,2342
T0738,2253
T0739,530
T0740,515
T0741,5600
T0742,1917
T0743,2112
T0744,7693
T0745,4048
T0746,2577
T0747a,1496
T0747b,1803
T0748,958
T0749,9206
T0750,640
T0751a,957
T0751b,1006
T0752,944
T0753,334
T0754,18127
T0755,2177
T0756,1629
T0757,11924
T0758,689
T0759,3846
T0760,6188
T0761,57481
T0762,4466
T0763,8801
T0764,2572
T0765,45186
T0766,1748
T0767,995
T0768,4926
T0769,1153
T0770,1973
T0771,757
T0772,317
T0773,335
T0774,3625
T0775,723
T0776,2066
T0777,404
T0778,1095
T0779,401
T0780,4268
T0781,1067
T0782,1006
T0783,2099
T0784,2502
T0785,2216
T0786,500
T0787,767
T0788,699
T0789,503
T0790,8065
T0791,707
T0792,326
T0793,1665
T0794a,768
T0794b,880
T0795,400
T0796,3250
T0797a,1177
T0797b,1014
T0798,294
T0799,510
T0800,299
T0801,2101
T0802,2411
T0803,297
T0804,1214
T0805,980
T0806,294
T0807,3069
T0808,637
T0809,2635
T0810,19577
T0811,3692
T0812,2300
T0813,8609
T0814,7287
T0815,16891
T0816,22136
T0817,11220
T0818,11678
T0819,467
T0820,4115
T0821,10327
T0822,8151
T0823,8698
T0824,10538
T0825,1737
T0826,2549
T0827,536
T0828,2422
T0829,2006
T0830,2631
T0831,2834
T0832,1353
T0833,5773
T0834,6735
T0835,2361
T0836,2041
T0837,5296
T0838,6317
T0839,13213
T0840,1969
T0841,1352
T0842,11835
T0843,11990
T0844,1778
T0845,2352
T0846,1288
T0847,38136
T0848,57554
T0849,11960
T0850,23071
T0851,17704
T0852a,18813
T0852b,16263
T0853,26646
T0854,6851
T0855,3421
T0856,1225
T0857,943
T0858,354
T0859,2723
T0860,6818
T0861,1611
T0862,4299
T0863,3274
T0864A,7437
T0864B,2682
T0865,18831
T0866,38126
T0867,14665
T0868,18812
T0869,3962
T0870,5463
T0871,7488
T0872,2089
T0873,10352
T0874,12131
T0875,3673
T0876,5027
T0877,3527
T0878,1653
T0879,1549
T0880,734
T0881,1102
T0882,122140
T0883,22054
T0884,8068
T0885,44815
T0886,3786
T0887,26898
T0888,5902
T0889,23733
T0890,31490
T0891,6622
T0892,17843
T0893a,43410
T0893b,40118
T0893c,41496
T0894a,15017
T0894b,15167
T0895a,22188
T0895b,16035
T0896,20109
T0897,17568
T0898,5222
T0899,6855
T0900,2428
T0901,150956
T0902,871
T0903,1894
T0904,11717
T0905,4022
T0906,3471
T0907,1427
T0908,4341
T0909,4229
T0910,1487
T0911,4080
T0912,5278
T0913,2291
T0914,3699
T0915,1200
T0916,1095
T0917,4614
T0918,885
T0919,758
T0920,17723
T0921,4474
T0922,2223
T0923,7777
T0924A,1306
T0924B,289
T0924C,2990
T0925,12277
T0926,8196
T0927,18837
T0928,2808
T0929,1197
T0930,5245
T0931,2393
T0932,5047
T0933,855
T0934,385
T0935,1643
T0936,4154
T0937,2413
T0938,1773
T0939,9531
T0940,1858
T0941,1048
T0942,766
T0943,1695
T0944A,4740
T0944B,2729
T0945,70937
T0946,31899
T0947,10914
T0948,1776
T0949,2701
T0950,34814
T0951,53923
T0952,29204
T0953,26811
T0954A,3363
T0954B,3302
T0955,2657
T0956,6467
T0957,5631
T0958,1084
T0959,2878
T0960,463
T0961,5898
T0962,3272
T0963,1017
T0964,1071
T0965,4329
T0966,5943
T0967,5485
T0968,3044
T0969,3465
T0970,5695
T0971,3477
T0972,3747
T0973,17758
T0974A,1394
T0974B,1769
T0974C,3437
T0974D,959
T0974E,9025
T0974F,2783
T0975,3028
T0976,3998
T0977,4666
T0978,3603
T0979,746
T0980,722
T0981,3717
T0982,25669
T0983A,2058
T0983B,5667
T0984,16352
T0985,22953
T0986,1485
T0987,3473
T0988,3567
T0989,11570
T0990,525
T0991,9278
T0992,7826
T0993,9839
T0994,8155
T0995,2955
T0996,3152
T0997,69880
T0998,1545
T0999,21572
T1000,9309
T1001,3594
T1002,787
T1003,14578
T1004,1233
T1005A,19922
T1005B,1331
T1006,27953
T1007,14317
T1008,9529
T1009,5122
T1010,514
T1011,2435
T1012,3257
T1013,4059
T1014,4751
T1015,4239
T1016,3527
T1017,5603
T1018,6528
T1019,1941
T1020,543
T1021,136
T1022A,3140
T1022B,3790
T1023,3938
T1024,5528
T1025,6559
T1026,2355
T1027a,11351
T1027b,9664
T1028A,1290
T1028B,1663
T1029,592
T1030,5046
T1031,2234
T1032,2510
T1033,8963
T1034,701
T1035,1272
T1036,1534
T1037,1920
T1038,2368
T1039,9475
T1040,1674
T1041,941
T1042,909
T1043,5118
T1044,1850
T1045a,2503
T1045b,2669
T1046,412
T1047,680
T1048,2490
T1049,698
T1050,24319
T1051,3907
T1052,1145
T1053,1341
T1054,2275
T1055,1058
T1056,13618
T1057a,9363
T1057b,8035
T1058,9989
T1059,2633
T1060,8748
T1061,2494
T1062A,836
T1062B,321
T1063,1336
T1064,4389
